channel_name,date,likes,comments_count,view_count,title
Priyanka Bysack,2025-04-28 08:02:00+00:00,9600,29,333223,zudio trending shopping ytshorts grwm fashion makeup shorts grwm haul vlog foryou yt
get ready with karthik,2023-04-03 08:39:21+00:00,29000,93,390194,zudio purchase polaama   sleeveless hoodie purchase   fashion zudio outfit trending
Yashasvi Rajpoot,2023-07-17 11:41:08+00:00,143000,140,2751729,cheapest zudio haulstarting from rs29 zudio touryashasvi rajpoot
Jithu Channel,2023-10-11 05:41:33+00:00,3600,19,380878,zudio shoppingbitter truthjithuchannelzudioshopping dresshaulsaleoffers collectiondiwali
Xplore Vth Venkat,2024-03-02 13:13:03+00:00,32000,143,478079,zudio  1000 outfit  roadto200ksubscribers  shorts fashion zudio trending
Abhishek Yadav 21,2024-11-09 12:57:00+00:00,58000,107,3669271,find cheapest or expensive product in zudio  shorts viralshort
Sakshi Anand,2025-07-04 05:45:07+00:00,1100,3,255855,fake zudio sale alert zudio fashion sale shopping ad shorts shortscreator
Smart Cooking With Uzma,2025-08-13 03:38:50+00:00,5,1,896,zudio sale latest collection zudiosummercollection zudiosale2025 zudio zudiosale shorts
Unnati Jain,2024-08-07 07:14:39+00:00,0,447,2185092,zudio sale reality  zudio zudioshoppingvlog zudioindia shopping reality
Vashu Aulakh (Kriti),2025-01-26 16:15:12+00:00,118000,270,5288101,how many products can i buy from zudio for 500 affordable shopping haul  zudio  shortvideos
Gems of chennai ,2025-08-02 16:55:55+00:00,4400,21,471456,zudio mega sale   zudio zudioshoppingvlog zudiomegasale
ekadantham,2025-08-12 11:11:37+00:00,23,4,391,50 shopping sale started in zudio shots reals vlog zudio automobile popular shopping offer
Harshita and Mayank,2025-08-12 07:54:49+00:00,178,38,3824,exploring heidelberggermanya mustvisit city for international students  budgetfriendly travel
Funbug rishu,2023-08-13 15:35:00+00:00,204000,408,4786177,zudio fresh stock sale is cheapest ever ashortaday minivlog tranding
Beauty by Ranjana,2025-04-26 14:37:53+00:00,23000,91,1605491,random zudio summer collection haul shorts zudio
Ananya Kunddu,2024-12-12 13:04:59+00:00,565,1,102446,zudio try on haul  denim haul under 999 creator trending zudio outfitideas
The Priya Review,2025-07-21 12:25:40+00:00,3100,13,259793,zudio finds under 100  zudio zudioshopping affordable ytshorts zudiohaul under100 viral
SneakyPooh,2025-08-08 03:18:40+00:00,0,12,20951,zudio collections august1 31 song feedshorts bangaloreday zudioshoppingvlog minivlog
Durba Dey,2025-08-10 09:19:26+00:00,1200,8,31611,zudior budget e westside e shopping
Blush Lover Puja,2025-08-02 03:58:06+00:00,46,3,8818,zudio sale shopping 2025 zudio zudiosale2025 zudiofinds shopping dress shorts
Funmoji 2D,2025-08-07 01:30:09+00:00,31000,60,902380,zudio saruku funmoji2d funny relatable comedy shopping shirt comedyshorts  funnycomedy
Saadia Hossain,2024-11-19 15:06:06+00:00,598,6,43762,zudio mini haul  zudio makeup  zudio jewellery  exploring kolkatas biggest zudio
Megha Unni,2025-08-08 07:19:42+00:00,0,0,19779,zudio sale 2025  zudio trendingshorts summersale
SUSMITA SUS,2024-11-03 11:15:03+00:00,0,31,254418,zudio jewellery worth buying
Rema Jain.,2025-08-09 12:01:47+00:00,203,2,20175,zudio sale share with your friends shorts zudio zudiofinds shortsfeed zudiofinds
shimic my home,2025-06-30 11:53:03+00:00,792,48,184456,zudio sale 2025  zudio summer collection 2025  zudio latest collection zudio shorts trending
The Priya Review,2025-07-26 12:44:24+00:00,1300,32,182006,zudio sale 2025 in august zudio zudiohaul zudiosale2025 ytshorts viral zudioshopping sale
Find Your Style with ME,2023-10-03 13:32:26+00:00,20000,48,909607,under rs 999 unique zudio chunky shoes
Naushad Vlogger,2025-08-09 04:00:31+00:00,45,4,4033,zudio summer collection 2025  zudio latest collection 2025  zudio haul  zudio shopping  zudio
The Fashion Verge,2024-12-23 14:11:25+00:00,43000,67,698682,style union vs zudio edi better
CANDY,2025-08-01 10:26:56+00:00,793,6,38848,zudio sale is live zudio zudiohaul zudiofinds zudiosale zudiofashion zudioindia
Harshu Vlogz,2025-07-24 06:14:52+00:00,0,84,1132447,zudio sale alert
Explore by Rajat ,2025-08-01 15:15:16+00:00,65,10,6916,zudio sale is live now  zudio zudiosale sale
Find Your Style with ME,2023-01-13 14:01:10+00:00,9200,20,290307,cheapest zudio shirt jackets from 799 zudio zudiohaul
Shalini Gupta,2025-06-02 10:30:30+00:00,270,4,32258,zudio summer finds zudio zudiohaul zudiofinds haul outfits tops viral fyp shorts
Rajpurohit Sharda Vlogs,2024-01-15 14:14:41+00:00,346,11,27394,new zudio store zudio zudioinjodhpur shopping clothes footwear sale
