date,text,likes,comments,shares,post_url,page_name
2025-01-14 18:31:38+00:00,"not more secrets sale prices dropped to 299 or less 

myzudio 

tc apply",7,0,0,https://www.facebook.com/reel/1122093286051689/,MyZudio
2025-01-11 13:30:22+00:00,"isnt this the most stylish pitstop 

myzudio",6,1,0,https://www.facebook.com/reel/1000611731871277/,MyZudio
2025-01-11 13:14:45+00:00,"isnt this the most stylish pitstop 

myzudio",14,1,0,https://www.facebook.com/reel/1605937146704418/,MyZudio
2025-01-10 15:05:25+00:00,"your midsale new style upgrade delivered 
fomo friday is here 

myzudio",34,1,0,https://www.facebook.com/reel/1671367137129566/,MyZudio
2025-01-10 14:00:18+00:00,"fomo friday drops got us dancing 

myzudio",6,0,0,https://www.facebook.com/reel/1266571447732774/,MyZudio
2025-01-10 13:42:39+00:00,"fomo friday drops got us dancing 

myzudio",7,1,0,https://www.facebook.com/reel/3915042742084183/,MyZudio
2025-01-09 12:40:35+00:00,"pov youre the chosen one 

myzudio 

tc apply",4,1,0,https://www.facebook.com/reel/978014797510197/,MyZudio
2025-01-09 12:34:21+00:00,"pov youre the chosen one 

myzudio 

tc apply",10,1,0,https://www.facebook.com/reel/1533824290668586/,MyZudio
2025-01-08 12:43:44+00:00,"add to cart more like add everything 

myzudio 

tc apply",9,1,0,https://www.facebook.com/reel/1320838649339375/,MyZudio
2025-01-07 13:27:42+00:00,"walked into 2025 with unmatched drip at an unmatched price 

myzudio 

tcs apply",13,1,2,https://www.facebook.com/reel/483521084774975/,MyZudio
2025-01-05 11:30:28+00:00,"the sale brings out all kinds of personalities spot your twin tell us which one you are 

myzudio 

tcs apply",10,1,0,https://www.facebook.com/reel/1310482389990170/,MyZudio
2025-01-04 15:00:37+00:00,"when working out is your resolution but you also love the zudio sale 

myzudio

tcs apply",13,0,0,https://www.facebook.com/reel/1136003518170713/,MyZudio
2025-01-04 12:14:09+00:00,"find these fits and more on sale for just 499 or less 

drop an emoji to show how youre feeling about the zudio sale 

myzudio 

tcs apply",9,0,1,https://www.facebook.com/MyZudio/posts/pfbid02RdeH29Etivy1v6ZbPW5TxFnTfi8zCs9snGqkwRMCK5UUbRt9WnbL7BSiE1GkUNDcl,MyZudio
