type,caption,comments_count,likes_count,timestamp
Sidecar,"the sporty denim takeover is here 

myzudio",33,2125,2025-03-11 13:30:56+00:00
Image,"summer dont know her 

myzudio",18,597,2025-03-14 13:30:00+00:00
Video,"im at unmaadiimb and everywhere i turn zudios got something cooler 

myzudio",34,4571,2025-02-22 09:00:30+00:00
Video,"mic check vibe check 
unmaad is about to hit different 

myzudio",28,2023,2025-02-21 10:12:38+00:00
Image,"unfollowing summer this year

myzudio",12,551,2025-03-16 13:30:30+00:00
Video,"sporty meets denim this fomo friday and its a total match 

myzudio",2,583,2025-03-07 13:11:20+00:00
Image,"grab the trends in stores now or feel the fomo later youve been warned 

myzudio",9,614,2025-03-03 13:58:33+00:00
Video,"summer just got replaced 

myzudio zummer",11,629,2025-03-18 15:10:42+00:00
Video,"brb never wearing my tees the same way again 

myzudio",35,2164,2025-02-12 13:26:17+00:00
Video,"real friends share playlists best friends share giveaways  

step 1 follow myzudio 
step 2 tag a bestie whos pulling up with you 
step 3 keep an eye on our stories for more 

valid for bangalore peeps
tc apply

myzudio",113,964,2025-02-16 13:30:53+00:00
Video,"bow down to the cutest trend ever 

myzudio",16,1452,2025-02-28 13:07:07+00:00
Video,"trend alert everyones walking in style 

myzudio",37,1694,2025-02-09 13:52:23+00:00
Video,"did a trend check and denim is having its moment 
dont miss it 

myzudio",54,7533,2025-02-09 05:53:34+00:00
Video,"this duo unbeatable sporty meets street and were obsessed 

myzudio",34,3348,2025-03-09 09:56:02+00:00
Video,"flashback to a weekend well never get over from  
zudio presents unmaadiimb 

myzudio",19,1297,2025-02-26 13:00:00+00:00
Sidecar,"score these looks before theyre gone which ones a 1010 

myzudio",5,1432,2025-03-08 05:35:11+00:00
Video,"sliders that match every fit 
which one are you vibing with

myzudio",32,1969,2025-02-03 13:30:00+00:00
Sidecar,"you are what you wear 

whats your denim personality 

myzudio",13,1836,2025-02-07 14:30:00+00:00
Sidecar,"swipe to step into whats trending this szn 

myzudio",18,2174,2025-02-02 05:30:00+00:00
Video,"bangalore clear your schedule zudios taking over unmaad

myzudio",20,1545,2025-02-15 13:30:00+00:00
Video,"level up your drip in zudio style 

myzudio",42,2507,2025-03-04 14:26:52+00:00
Video,"photo dump 101 take notes 

myzudio",28,1829,2025-02-10 14:22:55+00:00
Video,"fridays can only mean one thing  
tell us in the comments

myzudio",6,489,2025-02-06 13:38:29+00:00
Video,"running late because one fit is never enough 

myzudio",40,3578,2025-02-10 11:41:20+00:00
Video,"these sliders are all over the internet and soon your closet 

myzudio",15,1562,2025-02-01 13:35:00+00:00
